
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
AA:A3:99:A7:57:38, 2025-12-30 22:08:12, 2025-12-30 22:09:28,  1, 130, WPA2, CCMP, PSK, -57,       77,       25,   0.  0.  0.  0,   7, Kuldeep, 
AA:A3:99:A7:57:3C, 2025-12-30 22:08:12, 2025-12-30 22:09:28,  1, 130, WPA2, CCMP, PSK, -58,       80,       20,   0.  0.  0.  0,  10, Kuldeep_5G, 
6C:C2:42:67:A6:B2, 2025-12-30 22:08:12, 2025-12-30 22:09:20,  1, 130, WPA2, CCMP, PSK, -77,       19,        0,   0.  0.  0.  0,   8, Shubh-5G, 
6E:C2:42:57:A6:B2, 2025-12-30 22:08:12, 2025-12-30 22:09:27,  1, 130, WPA2, CCMP, PSK, -77,        8,        0,   0.  0.  0.  0,   0, , 
10:55:E4:C7:F7:12, 2025-12-30 22:08:12, 2025-12-30 22:09:25,  1, 130, WPA2 WPA, CCMP TKIP, PSK, -84,       12,        0,   0.  0.  0.  0,  15, Skyworth_3660A5, 
FC:22:F4:2E:A0:62, 2025-12-30 22:08:12, 2025-12-30 22:09:28,  6, 130, WPA2, CCMP TKIP, PSK, -38,       77,     1419,   0.  0.  0.  0,   7, Dhairya, 
20:89:8A:B8:F7:42, 2025-12-30 22:08:12, 2025-12-30 22:09:28,  7, 130, WPA2, CCMP, PSK, -64,       77,       21,   0.  0.  0.  0,  13, Jaspreet57_4G, 
44:95:3B:21:25:20, 2025-12-30 22:08:13, 2025-12-30 22:09:28,  2, 270, WPA2, CCMP TKIP, PSK, -80,       37,        2,   0.  0.  0.  0,  12, MS_Ajmani_A2, 
14:EB:B6:C2:D4:6A, 2025-12-30 22:08:13, 2025-12-30 22:09:29,  3, 270, WPA2, CCMP, PSK, -80,       80,        0,   0.  0.  0.  0,  12, First Floor , 
74:DA:88:F3:9A:54, 2025-12-30 22:08:13, 2025-12-30 22:09:25,  2, 130, WPA2, CCMP, PSK, -82,        4,        0,   0.  0.  0.  0,   9, 2nd Floor, 
4C:93:A6:8A:D0:82, 2025-12-30 22:08:15, 2025-12-30 22:09:27,  5, 130, WPA2, CCMP, PSK, -81,       46,        4,   0.  0.  0.  0,   7, LAKSHYA, 
3C:84:6A:8C:FC:DE, 2025-12-30 22:08:15, 2025-12-30 22:09:27, 11, 130, WPA2, CCMP, PSK, -75,       74,        0,   0.  0.  0.  0,  12, ES_Study_2.4, 
78:BB:C1:1E:42:49, 2025-12-30 22:08:15, 2025-12-30 22:09:27, 11, 130, WPA2, CCMP TKIP, PSK, -68,       53,        0,   0.  0.  0.  0,  16, Airtel_kara_6585, 
64:FB:92:B0:25:EF, 2025-12-30 22:08:15, 2025-12-30 22:09:23, 11, 270, WPA2, CCMP TKIP, PSK, -83,       33,        0,   0.  0.  0.  0,  14, Excitel_amaira, 
